capture,action,ordinal,time,direction,frame_hex,raw_len,frame_len,valid_pc_checksum,command,command_name,note
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,3,,DOWN,AA 01 1C E3,4,4,True,0x1C,heartbeat/status poll,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,12,,UP,55 0E 00 E3 00 05 08 07 66 66 66 66 66 66 66 00 00 31,18,18,,,device response,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,15,,DOWN,AA 01 1C E3,4,4,True,0x1C,heartbeat/status poll,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,24,,UP,55 0E 00 E3 00 05 08 07 66 66 66 66 66 66 66 00 00 31,18,18,,,device response,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,27,,DOWN,AA 01 1C E3,4,4,True,0x1C,heartbeat/status poll,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,32,,UP,55 0E 00 E3 00 05 08 07 66 66 66 66 66 66 66 00 00 31,18,18,,,device response,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,35,,DOWN,AA 04 3C 01 01 9E 20,7,7,True,0x3C,mic eq link / mic control,mic_link_payload=01 01 9E
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,44,,UP,55 0E 00 C3 00 05 08 07 66 66 66 66 66 66 66 00 00 51,18,18,,,device response,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,47,,DOWN,AA 01 1C E3,4,4,True,0x1C,heartbeat/status poll,
MIC_EQ_LINK_OFF_TO_ON,MIC EQ Link OFF -> ON,56,,UP,55 0E 00 E3 00 05 08 07 66 66 66 66 66 66 66 00 00 31,18,18,,,device response,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,3,,DOWN,AA 01 1C E3,4,4,True,0x1C,heartbeat/status poll,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,12,,UP,55 0E 00 E3 00 05 08 07 66 66 66 66 66 66 66 00 00 31,18,18,,,device response,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,15,,DOWN,AA 01 1C E3,4,4,True,0x1C,heartbeat/status poll,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,20,,UP,55 0E 00 E3 00 05 08 07 66 66 66 66 66 66 66 00 00 31,18,18,,,device response,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,23,,DOWN,AA 25 0E 00 62 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0,40,40,True,0x0E,output block write,output_section=0x00; first16=62 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,32,,UP,55 0E 00 F1 00 05 08 07 66 66 66 66 66 66 66 00 00 23,18,18,,,device response,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,35,,DOWN,AA 25 0E 00 61 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B1,40,40,True,0x0E,output block write,output_section=0x00; first16=61 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,40,,UP,55 0E 00 F1 00 05 08 07 66 66 66 66 66 66 66 00 00 23,18,18,,,device response,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,43,,DOWN,AA 25 0E 00 60 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B2,40,40,True,0x0E,output block write,output_section=0x00; first16=60 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,48,,UP,55 0E 00 F1 00 05 08 07 66 66 66 66 66 66 66 00 00 23,18,18,,,device response,
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,51,,DOWN,AA 25 0E 00 5F 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3,40,40,True,0x0E,output block write,output_section=0x00; first16=5F 63 63 63 64 32 64 32 5A 32 5F 32 2F 12 07 01
MAIN_L_VOL_12_TO_11,Main L Vol 12 dB -> 11 dB,56,,UP,55 0E 00 F1 00 05 08 07 66 66 66 66 66 66 66 00 00 23,18,18,,,device response,
