file,time,direction,idx,hex,len,kind,cmd,section_id,section,band_zero,band,freq_hz,q,type_sign,eq_type,gain_db,target,checksum_ok,payload
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:26,Down,15,AA 09 03 0A 00 9E 04 04 00 33 00 11,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.1,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:26,Down,23,AA 09 03 0A 00 9E 04 04 00 34 00 10,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.2,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:26,Down,35,AA 09 03 0A 00 9E 04 04 00 35 00 0F,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.3,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:27,Down,43,AA 09 03 0A 00 9E 04 04 00 36 00 0E,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.4,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:27,Down,51,AA 09 03 0A 00 9E 04 04 00 37 00 0D,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.5,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:27,Down,59,AA 09 03 0A 00 9E 04 04 00 38 00 0C,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.6,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:27,Down,71,AA 09 03 0A 00 9E 04 04 00 39 00 0B,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.7,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:28,Down,83,AA 09 03 0A 00 9E 04 04 00 3A 00 0A,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.8,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:28,Down,91,AA 09 03 0A 00 9E 04 04 00 3B 00 09,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,5.9,0.0,True,
19_ECHO_EQ_B1_GAIN_5_TO_6(1),03.07.2026 22:07:28,Down,99,AA 09 03 0A 00 9E 04 04 00 3C 00 08,12,EQ_WRITE,3,10.0,Echo,0.0,1.0,1182.0,0.4,0.0,P,6.0,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:42,Down,15,AA 09 03 09 00 B0 04 1B 80 75 00 27,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.7,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:42,Down,23,AA 09 03 09 00 B0 04 1B 80 74 00 28,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.6,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:42,Down,31,AA 09 03 09 00 B0 04 1B 80 73 00 29,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.5,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:43,Down,39,AA 09 03 09 00 B0 04 1B 80 72 00 2A,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.4,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:43,Down,47,AA 09 03 09 00 B0 04 1B 80 71 00 2B,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.3,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:43,Down,55,AA 09 03 09 00 B0 04 1B 80 70 00 2C,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.2,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:44,Down,63,AA 09 03 09 00 B0 04 1B 80 6F 00 2D,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.1,0.0,True,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,03.07.2026 22:06:44,Down,75,AA 09 03 09 00 B0 04 1B 80 6E 00 2E,12,EQ_WRITE,3,9.0,Reverb,0.0,1.0,1200.0,2.7,128.0,P,-11.0,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:48,Down,27,AA 09 03 08 00 35 00 0A 00 01 00 AC,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.1,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:48,Down,39,AA 09 03 08 00 35 00 0A 00 02 00 AB,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.2,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:48,Down,47,AA 09 03 08 00 35 00 0A 00 03 00 AA,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.3,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,59,AA 09 03 08 00 35 00 0A 00 04 00 A9,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.4,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,67,AA 09 03 08 00 35 00 0A 00 05 00 A8,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.5,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,75,AA 09 03 08 00 35 00 0A 00 06 00 A7,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.6,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,83,AA 09 03 08 00 35 00 0A 00 07 00 A6,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.7,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,91,AA 09 03 08 00 35 00 0A 00 08 00 A5,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.8,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:50,Down,99,AA 09 03 08 00 35 00 0A 00 09 00 A4,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.9,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:50,Down,107,AA 09 03 08 00 35 00 0A 00 0A 00 A3,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,1.0,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,27,AA 09 03 07 00 91 00 07 10 3D 00 08,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.1,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,39,AA 09 03 07 00 91 00 07 10 3E 00 07,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.2,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,47,AA 09 03 07 00 91 00 07 10 3F 00 06,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.3,0.0,True,
