capture,kind,section_id,section,band,freq_hz_first,freq_hz_last,q_first,q_last,type_first,type_last,type_sign_first,type_sign_last,gain_first_db,gain_last_db,target_first,target_last,frames,example_last,cmd,payload
19_ECHO_EQ_B1_GAIN_5_TO_6(1),EQ_WRITE,0x0A,Echo,1.0,1182.0,1182.0,0.4,0.4,P,P,0x00,0x00,5.1,6.0,0x00,0x00,10,AA 09 03 0A 00 9E 04 04 00 3C 00 08,,
18_REVERB_EQ_B1_GAIN_11.8_TO_11,EQ_WRITE,0x09,Reverb,1.0,1200.0,1200.0,2.7,2.7,P,P,0x80,0x80,-11.7,-11.0,0x00,0x00,8,AA 09 03 09 00 B0 04 1B 80 6E 00 2E,,
17_SUB_EQ_B1_GAIN_0_TO_1,EQ_WRITE,0x08,Subwoofer,1.0,53.0,53.0,1.0,1.0,P,P,0x00,0x00,0.1,1.0,0x00,0x00,10,AA 09 03 08 00 35 00 0A 00 0A 00 A3,,
16_CENTER_EQ_B1_GAIN_6_TO_7,EQ_WRITE,0x07,Center,1.0,145.0,145.0,0.7,0.7,LS,LS,0x10,0x10,6.1,7.0,0x00,0x00,10,AA 09 03 07 00 91 00 07 10 46 00 FF,,
15_SURROUND_EQ_B1_GAIN_7_TO_6,EQ_WRITE,0x05,Surround,1.0,143.0,143.0,0.5,0.5,LS,LS,0x10,0x10,6.9,6.0,0x00,0x00,9,AA 09 03 05 00 8F 00 05 10 3C 00 0F,,
14_MAIN_EQ_B1_GAIN_21_TO_20,EQ_WRITE,0x03,Main,1.0,80.0,80.0,0.6,0.6,LS,LS,0x10,0x10,20.9,20.0,0x00,0x00,10,AA 09 03 03 00 50 00 06 10 C8 00 C3,,
13_MIC_B_EQ_B1_GAIN_-8.0_TO_-7.0,EQ_WRITE,0x01,Mic B,1.0,2500.0,2500.0,1.9,1.9,LS,LS,0x90,0x90,-7.0,-7.0,0x00,0x00,1,AA 09 03 01 00 C4 09 13 90 46 00 3D,,
12_MIC_A_EQ_B1_GAIN_-7.0_TO_-8.0,EQ_WRITE,0x00,Mic A,1.0,2500.0,2500.0,1.9,1.9,LS,LS,0x90,0x90,-8.0,-8.0,0x00,0x00,1,AA 09 03 00 00 C4 09 13 90 50 00 34,,
11_MIC_EQ_LINK_ON_TO_OFF,MIC_EQ_LINK?,,,,,,,,,,,,,,,,1,AA 04 3C 00 00 C4 FC,0x3C,00 00 C4
10_MIC_LINK_ON_B1_GAIN_-8.0_TO_-7.0,EQ_WRITE,0x00,Mic A,1.0,2500.0,2500.0,1.9,1.9,LS,LS,0x90,0x90,-7.0,-7.0,0x00,0x00,1,AA 09 03 00 00 C4 09 13 90 46 00 3E,,
MIC_A_EQ_B1_TYPE_P_TO_LS,EQ_WRITE,0x00,Mic A,1.0,2500.0,2500.0,1.9,1.9,LS,LS,0x90,0x90,-7.0,-7.0,0x00,0x00,1,AA 09 03 00 00 C4 09 13 90 46 00 3E,,
MIC_A_EQ_B1_Q_2.0_TO_1.9,EQ_WRITE,0x00,Mic A,1.0,2500.0,2500.0,1.9,1.9,P,P,0x80,0x80,-7.0,-7.0,0x00,0x00,1,AA 09 03 00 00 C4 09 13 80 46 00 4E,,
MIC_A_EQ_B1_FREQ_2550_TO_2500,EQ_WRITE,0x00,Mic A,1.0,2500.0,2500.0,2.0,2.0,P,P,0x80,0x80,-7.0,-7.0,0x00,0x00,1,AA 09 03 00 00 C4 09 14 80 46 00 4D,,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,EQ_WRITE,0x00,Mic A,1.0,2550.0,2550.0,2.0,2.0,P,P,0x80,0x80,-7.9,-7.0,0x00,0x00,10,AA 09 03 00 00 F6 09 14 80 46 00 1B,,
